# x1,x2,x3,x4,u
2.115299987792968750e+01,7.432000160217285156e+00,4.902000045776367188e+01,-4.513999938964843750e+00,-3.502000093460083008e+00
2.116699981689453125e+01,7.203999996185302734e+00,4.901100158691406250e+01,-4.356999874114990234e+00,-3.502000093460083008e+00
2.118099975585937500e+01,6.938000202178955078e+00,4.900299835205078125e+01,-4.313000202178955078e+00,-3.502000093460083008e+00
2.119499969482421875e+01,6.794000148773193359e+00,4.899499893188476562e+01,-4.031000137329101562e+00,-3.502000093460083008e+00
2.120800018310546875e+01,6.479000091552734375e+00,4.898600006103515625e+01,-4.113999843597412109e+00,-3.502000093460083008e+00
2.122100067138671875e+01,6.401999950408935547e+00,4.897900009155273438e+01,-3.736999988555908203e+00,-3.502000093460083008e+00
2.123399925231933594e+01,6.058000087738037109e+00,4.897100067138671875e+01,-3.910000085830688477e+00,-3.502000093460083008e+00
2.124600028991699219e+01,6.024000167846679688e+00,4.896400070190429688e+01,-3.480999946594238281e+00,-3.502000093460083008e+00
2.125699996948242188e+01,5.672999858856201172e+00,4.895600128173828125e+01,-3.697000026702880859e+00,-3.502000093460083008e+00
2.126899909973144531e+01,5.657999992370605469e+00,4.894900131225585938e+01,-3.263000011444091797e+00,-3.502000093460083008e+00
2.128000068664550781e+01,5.324999809265136719e+00,4.894300079345703125e+01,-3.471999883651733398e+00,-3.502000093460083008e+00
2.129000091552734375e+01,5.302999973297119141e+00,4.893600082397460938e+01,-3.079999923706054688e+00,-3.502000093460083008e+00
2.129999923706054688e+01,5.010000228881835938e+00,4.893000030517578125e+01,-3.239000082015991211e+00,-3.502000093460083008e+00
2.131100082397460938e+01,4.960000038146972656e+00,4.892399978637695312e+01,-2.927999973297119141e+00,-3.502000093460083008e+00
2.131999969482421875e+01,4.722000122070312500e+00,4.891799926757812500e+01,-3.003000020980834961e+00,-3.502000093460083008e+00
2.132999992370605469e+01,4.631000041961669922e+00,4.891199874877929688e+01,-2.798000097274780273e+00,-3.502000093460083008e+00
2.133799934387207031e+01,4.458000183105468750e+00,4.890599822998046875e+01,-2.772000074386596680e+00,-3.502000093460083008e+00
2.134700012207031250e+01,4.317999839782714844e+00,4.890100097656250000e+01,-2.683000087738037109e+00,-3.502000093460083008e+00
2.135600090026855469e+01,4.210999965667724609e+00,4.889599990844726562e+01,-2.552000045776367188e+00,-3.502000093460083008e+00
2.136400032043457031e+01,4.026000022888183594e+00,4.889099884033203125e+01,-2.572000026702880859e+00,-3.502000093460083008e+00
2.137199974060058594e+01,3.976999998092651367e+00,4.888600158691406250e+01,-2.349999904632568359e+00,-3.502000093460083008e+00
2.137999916076660156e+01,3.756999969482421875e+00,4.888100051879882812e+01,-2.459000110626220703e+00,-3.502000093460083008e+00
2.138699913024902344e+01,3.750999927520751953e+00,4.887599945068359375e+01,-2.171999931335449219e+00,-3.502000093460083008e+00
2.139399909973144531e+01,3.510999917984008789e+00,4.887200164794921875e+01,-2.338999986648559570e+00,-3.502000093460083008e+00
2.140099906921386719e+01,3.530999898910522461e+00,4.886700057983398438e+01,-2.019999980926513672e+00,-3.502000093460083008e+00
2.140800094604492188e+01,3.289000034332275391e+00,4.886299896240234375e+01,-2.210000038146972656e+00,-3.502000093460083008e+00
2.141500091552734375e+01,3.315999984741210938e+00,4.885900115966796875e+01,-1.894999980926513672e+00,-3.502000093460083008e+00
2.142099952697753906e+01,3.089999914169311523e+00,4.885499954223632812e+01,-2.069999933242797852e+00,-3.502000093460083008e+00
2.142700004577636719e+01,3.104000091552734375e+00,4.885100173950195312e+01,-1.794999957084655762e+00,-3.502000093460083008e+00
2.143300056457519531e+01,2.911999940872192383e+00,4.884799957275390625e+01,-1.924000024795532227e+00,-3.502000093460083008e+00
2.143899917602539062e+01,2.898999929428100586e+00,4.884400177001953125e+01,-1.713999986648559570e+00,-3.502000093460083008e+00
2.144499969482421875e+01,2.750999927520751953e+00,4.884099960327148438e+01,-1.774999976158142090e+00,-3.502000093460083008e+00
2.145000076293945312e+01,2.701999902725219727e+00,4.883700180053710938e+01,-1.646000027656555176e+00,-3.502000093460083008e+00
2.145499992370605469e+01,2.601999998092651367e+00,4.883399963378906250e+01,-1.628999948501586914e+00,-3.502000093460083008e+00
2.146100044250488281e+01,2.515000104904174805e+00,4.883100128173828125e+01,-1.585999965667724609e+00,-3.502000093460083008e+00
2.146599960327148438e+01,2.463000059127807617e+00,4.882799911499023438e+01,-1.491999983787536621e+00,-3.502000093460083008e+00
2.146999931335449219e+01,2.341000080108642578e+00,4.882500076293945312e+01,-1.526000022888183594e+00,-3.502000093460083008e+00
2.147500038146972656e+01,2.329999923706054688e+00,4.882199859619140625e+01,-1.368000030517578125e+00,-3.502000093460083008e+00
