# x1,x2,x3,x4,u
9.829000473022460938e+00,2.154400062561035156e+01,5.375500106811523438e+01,-4.835999965667724609e+00,-1.674999952316284180e+00
9.871999740600585938e+00,2.081100082397460938e+01,5.374499893188476562e+01,-4.771999835968017578e+00,-1.674999952316284180e+00
9.911999702453613281e+00,1.972299957275390625e+01,5.373600006103515625e+01,-4.572000026702880859e+00,-1.674999952316284180e+00
9.949999809265136719e+00,1.823900032043457031e+01,5.372700119018554688e+01,-4.078000068664550781e+00,-1.674999952316284180e+00
9.984999656677246094e+00,1.639900016784667969e+01,5.371900177001953125e+01,-3.940999984741210938e+00,-1.674999952316284180e+00
1.001500034332275391e+01,1.440799999237060547e+01,5.371200180053710938e+01,-3.098999977111816406e+00,-1.674999952316284180e+00
1.004199981689453125e+01,1.207800006866455078e+01,5.370600128173828125e+01,-3.040999889373779297e+00,-1.674999952316284180e+00
1.006299972534179688e+01,9.831999778747558594e+00,5.370100021362304688e+01,-1.963999986648559570e+00,-1.674999952316284180e+00
1.007999992370605469e+01,7.283999919891357422e+00,5.369699859619140625e+01,-1.985999941825866699e+00,-1.674999952316284180e+00
1.009300041198730469e+01,5.019999980926513672e+00,5.369400024414062500e+01,-8.029999732971191406e-01,-1.674999952316284180e+00
1.010000038146972656e+01,2.510999917984008789e+00,5.369300079345703125e+01,-8.899999856948852539e-01,-1.674999952316284180e+00
1.010299968719482422e+01,4.320000112056732178e-01,5.369200134277343750e+01,2.669999897480010986e-01,-1.674999952316284180e+00
1.010200023651123047e+01,-1.817999958992004395e+00,5.369300079345703125e+01,1.430000066757202148e-01,-1.674999952316284180e+00
1.009599971771240234e+01,-3.558000087738037109e+00,5.369400024414062500e+01,1.154999971389770508e+00,-1.674999952316284180e+00
1.008699989318847656e+01,-5.380000114440917969e+00,5.369599914550781250e+01,1.029000043869018555e+00,-1.674999952316284180e+00
1.007499980926513672e+01,-6.677000045776367188e+00,5.369900131225585938e+01,1.799999952316284180e+00,-1.674999952316284180e+00
1.006000041961669922e+01,-7.962999820709228516e+00,5.370299911499023438e+01,1.707999944686889648e+00,-1.674999952316284180e+00
1.004300022125244141e+01,-8.770000457763671875e+00,5.370600128173828125e+01,2.177000045776367188e+00,-1.674999952316284180e+00
1.002499961853027344e+01,-9.472000122070312500e+00,5.371099853515625000e+01,2.148999929428100586e+00,-1.674999952316284180e+00
1.000599956512451172e+01,-9.793000221252441406e+00,5.371500015258789062e+01,2.288000106811523438e+00,-1.674999952316284180e+00
9.986000061035156250e+00,-9.921999931335449219e+00,5.372000122070312500e+01,2.345999956130981445e+00,-1.674999952316284180e+00
9.965999603271484375e+00,-9.800999641418457031e+00,5.372399902343750000e+01,2.165999889373779297e+00,-1.674999952316284180e+00
9.946999549865722656e+00,-9.418999671936035156e+00,5.372900009155273438e+01,2.315000057220458984e+00,-1.674999952316284180e+00
9.928999900817871094e+00,-8.935000419616699219e+00,5.373300170898437500e+01,1.858000040054321289e+00,-1.674999952316284180e+00
9.911000251770019531e+00,-8.140999794006347656e+00,5.373699951171875000e+01,2.088999986648559570e+00,-1.674999952316284180e+00
9.895999908447265625e+00,-7.389999866485595703e+00,5.374100112915039062e+01,1.422999978065490723e+00,-1.674999952316284180e+00
9.881999969482421875e+00,-6.309999942779541016e+00,5.374399948120117188e+01,1.713000059127807617e+00,-1.674999952316284180e+00
9.869999885559082031e+00,-5.397999763488769531e+00,5.374599838256835938e+01,9.240000247955322266e-01,-1.674999952316284180e+00
9.861000061035156250e+00,-4.165999889373779297e+00,5.374900054931640625e+01,1.235000014305114746e+00,-1.674999952316284180e+00
9.852999687194824219e+00,-3.197999954223632812e+00,5.375000000000000000e+01,4.160000085830688477e-01,-1.674999952316284180e+00
9.847999572753906250e+00,-1.945999979972839355e+00,5.375099945068359375e+01,7.099999785423278809e-01,-1.674999952316284180e+00
9.845000267028808594e+00,-1.011999964714050293e+00,5.375199890136718750e+01,-5.000000074505805969e-02,-1.674999952316284180e+00
9.843999862670898438e+00,1.420000046491622925e-01,5.375199890136718750e+01,1.850000023841857910e-01,-1.674999952316284180e+00
9.845000267028808594e+00,9.660000205039978027e-01,5.375199890136718750e+01,-4.370000064373016357e-01,-1.674999952316284180e+00
9.847999572753906250e+00,1.929000020027160645e+00,5.375099945068359375e+01,-2.960000038146972656e-01,-1.674999952316284180e+00
9.852000236511230469e+00,2.589999914169311523e+00,5.375000000000000000e+01,-7.210000157356262207e-01,-1.674999952316284180e+00
9.857999801635742188e+00,3.296999931335449219e+00,5.374900054931640625e+01,-6.970000267028808594e-01,-1.674999952316284180e+00
9.864999771118164062e+00,3.763999938964843750e+00,5.374700164794921875e+01,-8.920000195503234863e-01,-1.674999952316284180e+00
9.873000144958496094e+00,4.182000160217285156e+00,5.374499893188476562e+01,-9.919999837875366211e-01,-1.674999952316284180e+00
