Time (s),Tendon 1,Tendon 2,Tendon 3,Tendon 4
2.156086,0.001882,0.000000,0.000000,0.004080
2.160086,0.001874,0.000000,0.000000,0.004118
2.164087,0.001866,0.000000,0.000000,0.004156
2.168087,0.001858,0.000000,0.000000,0.004193
2.172087,0.001849,0.000000,0.000000,0.004230
2.176087,0.001839,0.000000,0.000000,0.004266
2.180087,0.001829,0.000000,0.000000,0.004302
2.184087,0.001819,0.000000,0.000000,0.004338
2.188088,0.001808,0.000000,0.000000,0.004373
2.192088,0.001796,0.000000,0.000000,0.004408
2.196088,0.001784,0.000000,0.000000,0.004442
2.200088,0.001772,0.000000,0.000000,0.004476
2.204088,0.001759,0.000000,0.000000,0.004509
2.208088,0.001745,0.000000,0.000000,0.004542
2.212088,0.001731,0.000000,0.000000,0.004575
2.216089,0.001717,0.000000,0.000000,0.004607
2.220089,0.001702,0.000000,0.000000,0.004639
