time[s],q_0[mm],q_2[mm]
10.2200000000,-0.0286160000,0.0000000000
10.2300000000,-0.0312720000,0.0000000000
10.2400000000,-0.0340450000,0.0000000000
10.2500000000,-0.0369350000,0.0000000000
10.2600000000,-0.0399420000,0.0000000000
10.2700000000,-0.0430660000,0.0000000000
10.2800000000,-0.0463070000,0.0000000000
10.2900000000,-0.0496640000,0.0000000000
10.3000000000,-0.0531380000,0.0000000000
10.3100000000,-0.0567280000,0.0000000000
10.3200000000,-0.0604350000,0.0000000000
10.3300000000,-0.0642570000,0.0000000000
10.3400000000,-0.0681960000,0.0000000000
10.3500000000,-0.0722500000,0.0000000000
10.3600000000,-0.0764190000,0.0000000000
10.3700000000,-0.0807040000,0.0000000000
10.3800000000,-0.0851050000,0.0000000000
10.3900000000,-0.0896200000,0.0000000000
10.4000000000,-0.0942510000,0.0000000000
10.4100000000,-0.0989960000,0.0000000000
10.4200000000,-0.1038550000,0.0000000000
10.4300000000,-0.1088290000,0.0000000000
10.4400000000,-0.1139170000,0.0000000000
10.4500000000,-0.1191190000,0.0000000000
10.4600000000,-0.1244350000,0.0000000000
10.4700000000,-0.1298640000,0.0000000000
10.4800000000,-0.1354060000,0.0000000000
10.4900000000,-0.1410620000,0.0000000000
10.5000000000,-0.1468300000,0.0000000000
10.5100000000,-0.1527120000,0.0000000000
10.5200000000,-0.1587050000,0.0000000000
10.5300000000,-0.1648110000,0.0000000000
10.5400000000,-0.1710280000,0.0000000000
10.5500000000,-0.1773580000,0.0000000000
10.5600000000,-0.1837980000,0.0000000000
10.5700000000,-0.1903500000,0.0000000000
10.5800000000,-0.1970130000,0.0000000000
10.5900000000,-0.2037870000,0.0000000000
10.6000000000,-0.2106710000,0.0000000000
10.6100000000,-0.2176650000,0.0000000000
10.6200000000,-0.2247680000,0.0000000000
10.6300000000,-0.2319820000,0.0000000000
10.6400000000,-0.2393040000,0.0000000000
10.6500000000,-0.2467360000,0.0000000000
10.6600000000,-0.2542760000,0.0000000000
10.6700000000,-0.2619250000,0.0000000000
10.6800000000,-0.2696820000,0.0000000000
10.6900000000,-0.2775470000,0.0000000000
10.7000000000,-0.2855190000,0.0000000000
10.7100000000,-0.2935980000,0.0000000000
10.7200000000,-0.3017840000,0.0000000000
10.7300000000,-0.3100770000,0.0000000000
10.7400000000,-0.3184760000,0.0000000000
10.7500000000,-0.3269800000,0.0000000000
10.7600000000,-0.3355910000,0.0000000000
10.7700000000,-0.3443060000,0.0000000000
10.7800000000,-0.3531260000,0.0000000000
10.7900000000,-0.3620510000,0.0000000000
10.8000000000,-0.3710800000,0.0000000000
10.8100000000,-0.3802130000,0.0000000000
10.8200000000,-0.3894490000,0.0000000000
10.8300000000,-0.3987880000,0.0000000000
10.8400000000,-0.4082300000,0.0000000000
10.8500000000,-0.4177740000,0.0000000000
10.8600000000,-0.4274200000,0.0000000000
10.8700000000,-0.4371680000,0.0000000000
10.8800000000,-0.4470170000,0.0000000000
10.8900000000,-0.4569660000,0.0000000000
10.9000000000,-0.4670160000,0.0000000000
10.9100000000,-0.4771660000,0.0000000000
10.9200000000,-0.4874160000,0.0000000000
10.9300000000,-0.4977650000,0.0000000000
10.9400000000,-0.5082120000,0.0000000000
10.9500000000,-0.5187580000,0.0000000000
10.9600000000,-0.5294020000,0.0000000000
10.9700000000,-0.5401440000,0.0000000000
10.9800000000,-0.5509820000,0.0000000000
10.9900000000,-0.5619180000,0.0000000000
11.0000000000,-0.5729490000,0.0000000000
11.0100000000,-0.5840760000,0.0000000000
11.0200000000,-0.5952990000,0.0000000000
11.0300000000,-0.6066170000,0.0000000000
11.0400000000,-0.6180290000,0.0000000000
11.0500000000,-0.6295350000,0.0000000000
11.0600000000,-0.6411350000,0.0000000000
11.0700000000,-0.6528280000,0.0000000000
11.0800000000,-0.6646130000,0.0000000000
11.0900000000,-0.6764910000,0.0000000000
11.1000000000,-0.6884600000,0.0000000000
11.1100000000,-0.7005210000,0.0000000000
11.1200000000,-0.7126720000,0.0000000000
11.1300000000,-0.7249140000,0.0000000000
11.1400000000,-0.7372460000,0.0000000000
11.1500000000,-0.7496670000,0.0000000000
11.1600000000,-0.7621770000,0.0000000000
11.1700000000,-0.7747750000,0.0000000000
11.1800000000,-0.7874610000,0.0000000000
11.1900000000,-0.8002340000,0.0000000000
11.2000000000,-0.8130940000,0.0000000000
11.2100000000,-0.8260410000,0.0000000000
11.2200000000,-0.8390730000,0.0000000000
11.2300000000,-0.8521910000,0.0000000000
11.2400000000,-0.8653930000,0.0000000000
11.2500000000,-0.8786800000,0.0000000000
11.2600000000,-0.8920500000,0.0000000000
11.2700000000,-0.9055040000,0.0000000000
11.2800000000,-0.9190400000,0.0000000000
11.2900000000,-0.9326590000,0.0000000000
11.3000000000,-0.9463590000,0.0000000000
11.3100000000,-0.9601400000,0.0000000000
11.3200000000,-0.9740020000,0.0000000000
11.3300000000,-0.9879430000,0.0000000000
11.3400000000,-1.0019640000,0.0000000000
11.3500000000,-1.0160640000,0.0000000000
11.3600000000,-1.0302430000,0.0000000000
11.3700000000,-1.0444990000,0.0000000000
11.3800000000,-1.0588320000,0.0000000000
11.3900000000,-1.0732420000,0.0000000000
