# x1,x2,x3,x4,u
-1.545499992370605469e+01,-3.690069885253906250e+02,5.201900100708007812e+01,-1.487100067138671875e+02,1.802000045776367188e+00
-1.618899917602539062e+01,-3.653859863281250000e+02,5.171400070190429688e+01,-1.556060028076171875e+02,1.881000041961669922e+00
-1.691600036621093750e+01,-3.615840148925781250e+02,5.139599990844726562e+01,-1.623919982910156250e+02,1.960999965667724609e+00
-1.763599967956542969e+01,-3.576170043945312500e+02,5.106499862670898438e+01,-1.690679931640625000e+02,2.039999961853027344e+00
-1.834700012207031250e+01,-3.534989929199218750e+02,5.072000122070312500e+01,-1.756329956054687500e+02,2.119999885559082031e+00
-1.904999923706054688e+01,-3.492439880371093750e+02,5.036199951171875000e+01,-1.820890045166015625e+02,2.198999881744384766e+00
-1.974399948120117188e+01,-3.448619995117187500e+02,4.999200057983398438e+01,-1.884369964599609375e+02,2.279000043869018555e+00
-2.042900085449218750e+01,-3.403649902343750000e+02,4.960900115966796875e+01,-1.946779937744140625e+02,2.358999967575073242e+00
-2.110499954223632812e+01,-3.357590026855468750e+02,4.921300125122070312e+01,-2.008139953613281250e+02,2.437999963760375977e+00
-2.177199935913085938e+01,-3.310530090332031250e+02,4.880500030517578125e+01,-2.068459930419921875e+02,2.517999887466430664e+00
-2.243000030517578125e+01,-3.262510070800781250e+02,4.838600158691406250e+01,-2.127749938964843750e+02,2.596999883651733398e+00
-2.307699966430664062e+01,-3.213569946289062500e+02,4.795399856567382812e+01,-2.186009979248046875e+02,2.677000045776367188e+00
-2.371500015258789062e+01,-3.163760070800781250e+02,4.751100158691406250e+01,-2.243249969482421875e+02,2.756999969482421875e+00
-2.434300041198730469e+01,-3.113080139160156250e+02,4.705699920654296875e+01,-2.299459991455078125e+02,2.835999965667724609e+00
-2.495999908447265625e+01,-3.061539916992187500e+02,4.659199905395507812e+01,-2.354629974365234375e+02,2.915999889373779297e+00
-2.556699943542480469e+01,-3.009159851074218750e+02,4.611500167846679688e+01,-2.408750000000000000e+02,2.994999885559082031e+00
-2.616399955749511719e+01,-2.955939941406250000e+02,4.562799835205078125e+01,-2.461799926757812500e+02,3.075000047683715820e+00
-2.675000000000000000e+01,-2.901870117187500000e+02,4.513000106811523438e+01,-2.513760070800781250e+02,3.154999971389770508e+00
-2.732500076293945312e+01,-2.846960144042968750e+02,4.462300109863281250e+01,-2.564599914550781250e+02,3.233999967575073242e+00
-2.788800048828125000e+01,-2.791189880371093750e+02,4.410499954223632812e+01,-2.614289855957031250e+02,3.313999891281127930e+00
-2.844099998474121094e+01,-2.734559936523437500e+02,4.357699966430664062e+01,-2.662799987792968750e+02,3.392999887466430664e+00
-2.898200035095214844e+01,-2.677080078125000000e+02,4.304000091552734375e+01,-2.710100097656250000e+02,3.473000049591064453e+00
-2.951199913024902344e+01,-2.618750000000000000e+02,4.249300003051757812e+01,-2.756149902343750000e+02,3.552999973297119141e+00
-3.003000068664550781e+01,-2.559559936523437500e+02,4.193700027465820312e+01,-2.800910034179687500e+02,3.631999969482421875e+00
-3.053499984741210938e+01,-2.499539947509765625e+02,4.137300109863281250e+01,-2.844349975585937500e+02,3.711999893188476562e+00
-3.102899932861328125e+01,-2.438690032958984375e+02,4.079999923706054688e+01,-2.886440124511718750e+02,3.790999889373779297e+00
-3.151099967956542969e+01,-2.377039947509765625e+02,4.021799850463867188e+01,-2.927149963378906250e+02,3.871000051498413086e+00
-3.197999954223632812e+01,-2.314589996337890625e+02,3.962900161743164062e+01,-2.966430053710937500e+02,3.950000047683715820e+00
-3.243399810791015625e+01,-2.235460052490234375e+02,3.904399871826171875e+01,-2.915830078125000000e+02,3.950000047683715820e+00
-3.286500167846679688e+01,-2.099830017089843750e+02,3.847600173950195312e+01,-2.794049987792968750e+02,3.950000047683715820e+00
-3.326399993896484375e+01,-1.919600067138671875e+02,3.793899917602539062e+01,-2.605469970703125000e+02,3.950000047683715820e+00
-3.362500000000000000e+01,-1.707330017089843750e+02,3.744499969482421875e+01,-2.362689971923828125e+02,3.950000047683715820e+00
-3.394100189208984375e+01,-1.476239929199218750e+02,3.700199890136718750e+01,-2.079720001220703125e+02,3.950000047683715820e+00
-3.421099853515625000e+01,-1.237630004882812500e+02,3.661899948120117188e+01,-1.770890045166015625e+02,3.950000047683715820e+00
-3.443299865722656250e+01,-1.000469970703125000e+02,3.629700088500976562e+01,-1.449980010986328125e+02,3.950000047683715820e+00
-3.461000061035156250e+01,-7.716400146484375000e+01,3.603900146484375000e+01,-1.129430007934570312e+02,3.950000047683715820e+00
-3.474300003051757812e+01,-5.562400054931640625e+01,3.584400177001953125e+01,-8.199600219726562500e+01,3.950000047683715820e+00
-3.483499908447265625e+01,-3.579299926757812500e+01,3.570800018310546875e+01,-5.303400039672851562e+01,3.950000047683715820e+00
-3.488899993896484375e+01,-1.792399978637695312e+01,3.562699890136718750e+01,-2.672599983215332031e+01,3.950000047683715820e+00
-3.490999984741210938e+01,-2.176000118255615234e+00,3.559600067138671875e+01,-3.540999889373779297e+00,3.950000047683715820e+00
-3.490100097656250000e+01,1.136299991607666016e+01,3.560699844360351562e+01,1.623600006103515625e+01,3.950000047683715820e+00
-3.486800003051757812e+01,2.266600036621093750e+01,3.565399932861328125e+01,3.249399948120117188e+01,3.950000047683715820e+00
-3.481499862670898438e+01,3.175699996948242188e+01,3.572999954223632812e+01,4.525899887084960938e+01,3.950000047683715820e+00
-3.474599838256835938e+01,3.870600128173828125e+01,3.582899856567382812e+01,5.467900085449218750e+01,3.950000047683715820e+00
-3.466400146484375000e+01,4.362300109863281250e+01,3.594300079345703125e+01,6.098899841308593750e+01,3.950000047683715820e+00
-3.457500076293945312e+01,4.665299987792968750e+01,3.606700134277343750e+01,6.448999786376953125e+01,3.950000047683715820e+00
-3.448099899291992188e+01,4.796900177001953125e+01,3.619599914550781250e+01,6.552700042724609375e+01,3.950000047683715820e+00
-3.438600158691406250e+01,4.776900100708007812e+01,3.632500076293945312e+01,6.446499633789062500e+01,3.950000047683715820e+00
-3.429299926757812500e+01,4.626699829101562500e+01,3.645000076293945312e+01,6.167499923706054688e+01,3.950000047683715820e+00
-3.420299911499023438e+01,4.368600082397460938e+01,3.656900024414062500e+01,5.752000045776367188e+01,3.950000047683715820e+00
-3.411999893188476562e+01,4.025199890136718750e+01,3.667800140380859375e+01,5.234400177001953125e+01,3.950000047683715820e+00
-3.404299926757812500e+01,3.618399810791015625e+01,3.677600097656250000e+01,4.646300125122070312e+01,3.950000047683715820e+00
-3.397600173950195312e+01,3.169199943542480469e+01,3.686299896240234375e+01,4.016400146484375000e+01,3.950000047683715820e+00
-3.391699981689453125e+01,2.697100067138671875e+01,3.693700027465820312e+01,3.369800186157226562e+01,3.950000047683715820e+00
-3.386800003051757812e+01,2.219300079345703125e+01,3.699800109863281250e+01,2.727799987792968750e+01,3.950000047683715820e+00
-3.382799911499023438e+01,1.750900077819824219e+01,3.704600143432617188e+01,2.108300018310546875e+01,3.950000047683715820e+00
